Name,Value
QUINTERO_1B_GN_D,0.635
SAN_ISIDRO_2-TG_GN_B,2.135
SAN_ISIDRO_2-TG_GN_C,2.135
SAN_ISIDRO_2-TG_GN_D,2.135
SAN_ISIDRO_2-TG+TV_GN_B,7.79
SAN_ISIDRO_2-TG+TV_GN_C,7.79
SAN_ISIDRO_2-TG+TV_GN_D,7.79
SAN_ISIDRO_2-TG+TV-FSTVU_GN_B,7.79
SAN_ISIDRO_2-TG+TV-FSTVU_GN_C,7.79
SAN_ISIDRO_2-TG+TV-FSTVU_GN_D,7.79
SAN_ISIDRO-FA_GN_B,0
SAN_ISIDRO-FA_GN_C,0
SAN_ISIDRO-FA_GN_D,0
SAN_ISIDRO-TG_GN_B,1.95
SAN_ISIDRO-TG_GN_C,1.95
SAN_ISIDRO-TG_GN_D,1.95
SAN_ISIDRO-TG+TV_GN_B,7.26
SAN_ISIDRO-TG+TV_GN_C,7.26
SAN_ISIDRO-TG+TV_GN_D,7.26
